tweet, category
"Text from one league source: “That’s Kraft putting it to the Colts again. He will forever try and (expletive) that place ever since deflate gate.”", 
"Details on Josh McDaniels choosing to stay in New England rather than taking Colts’ HC job:\n\nhttps://t.co/aK4mNiq79D", 
"Details on Josh McDaniels choosing to stay in New England rather than taking Colts’ HC job:... https://t.co/KyFJmvTTpa", 
"In the past 48 hours, Patriots owner Robert Kraft began talking with Josh McDaniels and ultimately wound up sweetening his contract, helping to entice him to remain in New England, per sources. Bill Belichick has his OC back.", 
"Stunner: Patriots’ OC Josh McDaniels has decided NOT to accept Colts’ HC job and will remain with New England, sources told ESPN.", 
"Patriots' CB Malcom Butler weighs in: https://t.co/HoYgxZ0pc3", 
"Patriots’ assistant QB coach Jerry Schuplinski is expected to join Josh McDaniels’ staff in Indianapolis, per source. \n\nAlso means Patriots’ WR coach Chad O’Shea is in play to become New England’s OC.", 
"Former Patriots’ OC Josh McDaniels officially accepted the head-coaching position of the Indianapolis Colts.", 
"Police are investigating a possible break-in at the home of Patriots’ TE Rob Gronkowski in Foxborough, Massachusetts:\n\nhttps://t.co/Q1WegtCEMW", 
"The 2017 season may be over, but we still want to hear from you. Please call the podcast hotline at 860-506-5779. Leave your name and question, then listen to this week’s Adam Schefter Podcast to see if you made the show. Thank you.", 
"Oakland Raiders have released CB David Amerson.", 
"Lions made it official and announced the hire of former Patriots’ DC Matt Patricia as their HC. \n\nJosh McDaniels to Indy next.", 
"Philadelphia won all 3 games this postseason as an underdog, joining the 1980 Raiders and 2007 Giants as the only three teams in the Super-Bowl Era to win the championship by winning every postseason game as an underdog.", 
"Minnesota Nice was real, like the Eagles’ win. A big thank you to the city, and all its volunteers, for all their warmth and hospitality.", 
"Seahawks’ DE Frank Clark said his father and three other family members were killed in a fire in Cleveland last week:\n\nhttps://t.co/XDCXoBSYeg", 
"Another fine NY Post headline: https://t.co/gBXkffNVme", 
"This is how much the Eagles’ win meant to their diehard fans like the great @jimcramer: https://t.co/fMD4sI9hgO", 
"Turns out @tthasselbeck was a man way ahead of his time (and congratulations to @KNegandhiESPN): https://t.co/Y8MQjh5prL", 
"Super Bowl MVP Nick Foles is going to Disney World on Monday.", 
"Patriots’ CB Malcolm Butler to ESPN’s @MikeReiss: “They gave up on me. F—. It is what it is.”", 
"Sign outside Eagles’ Super Bowl locker room: https://t.co/VMgIGqC9MQ", 
"Nick Foles: Super Bowl MVP.", 
"Vikings, Panthers, Falcons all play at Lincoln Financial Field. Any could be the Thursday night opener for the world-champion Eagles.", 
"Broad Street, brace yourself.", 
"Just a reminder: Dez caught it.", 
"Fitting that the Super Bowl hangs on whether it’s a catch.", 
"Brandin Cooks ruled out of Super Bowl LII.", 
"Tom Brady tells Westwood One: “You’re gonna see me playing football next year. I don’t envision not playing.”", 
"Eagles inactives: W.Beatty, M.Johnson, S.Jones, S.Means, E.Qualls, W.Smallwood, D.Vaeao", 
"More front-office moves for the Browns: https://t.co/d1tmcoMhTN", 
"Minnesotans who want to congratulate Randy Moss on being selected to the Pro Football Hall of Fame, please head over to the IDS Center at 9 am CST for Live NFL Countdown on ESPN.", 
"Kirk Cousins might not be so free after all...\n\nWashington is considering placing franchise tag on Cousins to be able to trade him, sources tell ESPN. \n\nhttps://t.co/keNB2pGApD", 
"Steelers’ LB Ryan Shazier has regained movement in legs, is walking and making “incredible progress.”... https://t.co/6VJzbyy5yB", 
"Lions expected to keep Jim Bob Cooter as offensive coordinator, per sources.... https://t.co/WMmuQ19y42", 
"Bill Belichick will be appearing in his eighth Super Bowl as a HC and 11th as an asst or HC, most all-time. Belichick has five SB titles as an HC, the most of any coach. A win would tie Belichick with George Halas and Curly Lambeau for most NFL championships by an HC in history.", 
"This is awesome.... https://t.co/xvcjgFiUFF", 
"Eligible for 1st time for Pro Football Hall of Fame, Class of 2019:\n\nS       Ed Reed\nTE    Tony Gonzalez\nCB    Champ Bailey\nLB     London Fletcher\nCB    Asante Samuel\nLB     Jonathan Vilma\nOG    Brian Waters\nOT    Jordan Gross", 
"Awards for the 2017 NFL Season: https://t.co/Xy4SiAjUhd", 
"Junípero Serra High School in San Mateo, Calif., now has produced the only two men to win MVPs in their 40’s, Tom Brady and Barry Bonds. Same school also produced former Super Bowl MVP Lynn Swann.", 
"Hall of Fame, Class of 2018: Randy Moss, Brian Urlacher, Ray Lewis, Brian Dawkins, Terrell Owens, Jerry Kramer, Robert Brazile and Bobby Beathard.", 
"Tom Brady is the favorite to win the NFL’s MVP tonight for the 3rd time in his career (also 2007 and 2010). If he does, he’d join Barry Bonds (2004) as the only 40-year olds in the 4 major sports to win a regular-season MVP.", 
"Ravens’ personnel man Eric DeCosta has been on other teams’ GM wish lists. Now he will get the chance to succeed Ozzie Newsome as the Ravens’ general manager.", 
"Friends at @JohnnieWalkerUS are celebrating America’s favorite pastime this weekend with $10 off @LYFT rides in the NY area. Get to and from your Super Bowl watch parties safely, using the code KeepWalkingNYC. Participants must be 21+. #JohnnieWalkerPartner", 
"Ravens said GM Ozzie Newsome will step down after next season and Eric DeCosta will take over as the new GM.", 
"Sources: Punxsutawney Phil sees his shadow; six more weeks of winter.", 
"A postcard from Minneapolis and Super Bowl LII, via @ronberk1: https://t.co/RCFsU0zprP", 
"NFLPA Executive director DeMaurice Smith: NFLPA will approach 2021 CBA talks like 'war'.\n\nhttps://t.co/ToJoxiHWNa", 
"Chris Long named recipient of the 2018 Byron “Whizzer” White Community MVP Award. In recognition, the NFL Players Association will donate $100,000 to The Chris Long Foundation.", 
"NFL has changed post-game Super Bowl security procedures to ensure no more jerseys or other items are stolen:\n\nhttps://t.co/nIy0zwtnDI", 
"Sneak peek at the early stages of \"The Patriot Way.\" #TheTwoBills airs tonight at 9p ET on @ESPN. https://t.co/VzYPRXLrmz", 
"Great news from Pittsburgh: https://t.co/FCqewnMciu", 
"Super Bowl LII officiating guide: Ref's record suggests there could be lots of flags, via @SeifertESPN:\n\nhttps://t.co/zyuKnTQ9WE", 
"A man of the people: Kirk Cousins waiting in line at Shake Shack outside Radio Row today: https://t.co/qh4r1EBfuS", 
"Los Angeles Rams will host the Kansas City Chiefs at Estadio Azteca in the 2018 season.", 
"Philadelphia HC Doug Pederson, who backed up Brett Favre for a decade, has arranged for Favre to address the Eagles on Saturday morning.", 
"Official Super Bowl LII program, courtesy of @GamedayHQ: https://t.co/uKOgXOToi2", 
"NFL reached an agreement with FOX Sports to broadcast the next five seasons of Thursday Night Football beginning with the 2018 season - at $660 million per year.", 
"Alex Smith is the first QB to lead the NFL in touchdown-to-interception ratio (26 TD, 5 Int, a 5.2 ratio) in one season and then change teams the following season, per Elias.", 
"Potential cap space of teams with QB questions and or needs right now if there’s a hypothetical $176M salary cap: https://t.co/B3qzdyRYDj", 
"NBC’s Al Michaels on his legendary career, preparing to call his 10th Super Bowl, his most memorable moments, all on The Adam Schefter podcast:\n\nhttps://t.co/6r9OhMDNmd", 
"One Washington player said tonight that Kendall Fuller graded out as team’s best defensive player this season. Chiefs loved him. Further proof below: https://t.co/dkQwrLVZM5", 
"Andy Reid has no problem trading QBs to Washington.\n\nOnce traded QB Donovan McNabb to Washington for a second- and third-round pick.\n\nNow trading QB Alex Smith to Washington for a third-round pick and CB Kendall Fuller.", 
"CB Kendall Fuller is the player that made the trade for Alex Smith possible. Chiefs view Fuller as a bonafide starter, to go along with the third-round pick they’re getting.", 
"In Alex Smith trade, Chiefs will receive third-round pick And CB Kendall Fuller, per @FieldYates. So there’s the trade.", 
"Multiple teams - and one person labeled it as “six” - expressed some form of interest to KC about trading for QB Alex Smith, per sources. KC was listening to offers from other teams this morning.", 
"Washington and QB Kirk Cousins haven’t had any contact since regular season ended, per source. And now each side will go its own way.", 
"Kirk Cousins, the only QB ever to receive the franchise tag twice, now will leave Washington. Teams expected to be in QB market include Buffalo, Cleveland, Denver, NY Jets, amongst others.", 
"Alex Smith will average $23.5 million per year in new money on the four-year extension with approximately $70 million in guaranteed money on the agreement between the two sides, per @mortreport. There is no official contract or paperwork so agreement in principle right now.", 
"Trade term update: Washington is sending KC a third-round pick and an unidentified player for QB Alex Smith, per sources.", 
"One sidenote: Kansas City and Washington cannot officially complete the Alex Smith trade until the first day of the league year, March 14. But it is agreed to.", 
"Kansas City is expected to receive a second-round pick from Washington for Alex Smith and possibly more, per source. But a second-round pick was the price as of this morning, before trade between KC and Washington finalized.", 
"QB Alex Smith and Washington now have reached an agreement on a new four-year contract extension, per sources. Smith, who had one year left on his contact, tied to Washington for next five seasons. Smith gets long-term deal from Washington that Cousins could not.", 
"Chiefs have agreed to trade Qb Alex Smith to the Redskins, as @TerezPaylor reported.\n\nKirk Cousins now will be leaving Washington.", 
"One day after the Cleveland Indians announced they would no longer use Chief Wahoo as a symbol after this season, Roger Goodell told @GolicAndWingo that he did not see anything changing with the Washington Redskins nickname.\n\nhttps://t.co/dX0cnTmk3c", 
"Back in 2008, the Dallas Cowboys cut WR Danny Amendola and kept WRs Terrell Owens, Roy Williams, Patrick Crayton, Miles Austin and Sam Hurd.", 
"With Matt LaFleur leaving to become Titans’ OC, Rams promoted Aaron Kromer to run-game coordinator and Shane Waldron to pass-game coordinator.", 
"So in a 24-hour span, Titans fill both coordinator spots with former Rams’ OC Matt LaFleur as their offensive coordinator and former Ravens’ DC Dean Pees as their defensive coordinator. Mike Vrabel off and running.", 
"So the Titans interviewed former Rams’ OC Matt LaFleur for their head-coaching job and wound up hiring him as offensive coordinator.", 
"Titans are expected to hire Matt LaFleur as offensive coordinator, as @PaulKuharskyNFL reported.", 
"ICYMI: Jaguars’ QB Blake Bortles underwent wrist surgery Friday for lingering issue, per sources.\n\nhttps://t.co/okyultrFzt", 
"Jaguars’ QB Blake Bortles underwent right wrist surgery Friday for a condition that kept him on the injury report all season, sources told ESPN. \n\nBortles dealt with the issue since December 2016. The Jaguars elected to avoid surgery last offseason, but knew it was needed now.", 
"Roger Goodell is concerned about the NFL’s catch rule and looking at ways to improve it:\n\nhttps://t.co/Wo8wLlWK2L", 
"After 20 seasons in NFL, Bills defensive line coach Mike Waufle has retired.", 
"Steelers signed WR Trey Griffey, son of former Major League Baseball (MLB) player Ken Griffey Jr.", 
"Troubling situation for all at or near The Graduate Hotel in Minnesota, where NFL has staff staying for Super Bowl LII and this weekend’s NFL Honors show. \n\nhttps://t.co/5utI4FWumi", 
"Cowboys’ QB Dak Prescott remains No.1 on NFLPA’s Top 50 jerseys sold most. Prescott led all players in jersey sales, followed by Carson Wentz, and Ezekiel Elliott.", 
"Favorite picture of the day: Cameron Jordan sharing a pre Pro-Bowl moment with Dylan, courtesy of the @saints. https://t.co/PwbLWS4JKd", 
"Listen to your voice on my podcast. Please call in and leave us a voicemail at 860-506-5779. Be sure to include your name, along with your #AskAdam question. Download this Wednesday’s “Adam Schefter Podcast” to see if you made the show.", 
"New Giants’ HC Pat Shurmur was able to retain asst OL coach Lunda Wells despite Oakland and other teams expressing interest in luring him away, per source. Wells will be Giants’ TE coach.", 
"After Friday’s meeting, the Colts intend to hire Patriots’ OC Josh McDaniels as their HC after Super Bowl LII, per sources. \n\nPatriots expected to lose OC to Colts, DC Matt Patricia to Lions, while respected special teams coordinator Joe Judge on expiring contract. Changes.", 
"Each player on today’s winning Pro-Bowl team receives $64,000 while each player on the losing Pro-Bowl team receives $32,000.", 
"Patriots’ TE Rob Gronkowski returned to practice today after missing New England’s previous three practices due to a concussion.", 
"Carolina, which changed GMs before training camp last summer, will begin GM interviews this week, per source. Two of the candidates scheduled to be interviewed are interim GM Marty Hurney and Texans VP Player of Personnel Jimmy Raye III, per source.", 
"Jets expected to hire former Bills’ OC Rick Dennison as their run-game coordinator/offensive line coach, per league source.", 
"Panthers are hiring former Air Force defensive coordinator Steve Russ as their linebackers coach, per league source.", 
"A statement from Bills’ center Eric Wood: https://t.co/428112gQCM", 
"Tom Brady vs. Michael Jordan for greatest GOAT: The scorecard, via @Ian_OConnor.\n\nhttps://t.co/VRw1dKk73P https://t.co/tYrwYjD9OQ", 
"Bills’ center Eric Wood’s career-ending neck injury is partly due to wear and tear, but one source characterized it as a “complicated medical situation.”", 
"Bills’ center Eric Wood has suffered a career-ending neck injury, as @ScoutFantasy reported. Big blow to Buffalo’s offensive line.", 
"Nick Foles at ESPN in 2010:\n\nhttps://t.co/7jzWvhgdyA", 
"Twenty years goes quick.... https://t.co/Ewd0pBYsDa", 
"Washington resigned LB Mason Foster.", 
"Exchange from today’s press conference with Bill Belichick:\n\nQ: Would you say the chance to win a Super Bowl is the only thing on this earth that could get you in front of the media and inside the Mall of America at the same time?\n\nBB: That's probably a pretty good analysis; yeah", 
"NFL will salute 15 recipients of the Medal of Honor – the United States' most prestigious military decoration – at Super Bowl LII.", 
"Predicting 2018 NFL free agency's biggest spenders -- and penny-pinchers, via @FieldYates:\n\nhttps://t.co/J3pLt3ef8T", 
"Not that there was much of a question but Patriots confirmed TE Rob Gronkowski suffered a concussion Sunday. He would not have practiced today if there was one.", 
"The 55-year-old Jerry Rice on this week’s “The Adam Schefter Podcast”: https://t.co/DSqMHIAcUO", 
"Le’Veon Bell encouraged by contract talks with Steelers, per @JFowlerESPN:\n\nhttps://t.co/FeSiOSmPLm", 
"RamS hired former UCLA offensive coordinator Jedd Fisch as the team’s senior offensive assistant.", 
"Browns officially named Todd Haley as offensive coordinator, Amos Jones as special teams coordinator and Freddie Kitchens as running backs/associate head coach.", 
"The Giants’ longest-tenured coach, safeties coach Dave Merritt - who has coached with team since 2004 - is returning to Arizona, where he played from 1993-‘95, per league source. Merritt will coach the Cardinals’ secondary.", 
"Full story on how the NFL and Carolina Panthers followed concussion protocol when dealing with Cam Newton:... https://t.co/6qDQl5z6KE", 
"NFL VP Joe Lockhart on the criticism of how Cam Newton case was handled: “This highlights the challenge that reporters and commentators have, needing to immediately draw conclusions without any of the facts. This is a lesson for all: you jump to conclusions at your own peril.”", 
"An NFL and NFLPA investigation determined that Cam Newton was properly evaluated for a concussion, did not sustain a concussion, and protocol was followed. There will be no discipline.", 
"On the newly-named podcast...\n\nTitans’ HC Mike Vrabel discusses what he learned from Bill Belichick, and HOFer Jerry Rice discusses the Patriots’ run:\n\nhttps://t.co/OW778tMVOV", 
"Former Seahawks' OC Darrell Bevell has wrapped up his interview in Arizona for Cardinals' OC and is pondering his options, per source; Cardinals also plan to speak with former Broncos' OC Mike McCoy, per source.", 
"NFL Players Association’s five finalists for 2018 NFLPA Byron “Whizzer” White Community MVP: Andy Dalton (Cincinnati Bengals), Colin Kaepernick, Chris Long (Philadelphia Eagles), Von Miller (Denver Broncos) and J.J. Watt (Houston Texans).", 
"To anyone who had any questions, NFL Sr. VP of Officiating Alberto Riveron will return for the 2018 season, with the support of the commissioner and the league, according to @NFLprguy.", 
"Patriots will wear their road white jerseys in Super Bowl LII against the Philadelphia Eagles, per @MikeReiss. The team wearing white jerseys has won the Super Bowl in 12 of the previous 13 seasons, per @EpKap.", 
"Former Seahawks’ DC Kris Richard is being hired as the Cowboys’ Passing Game Coordinator, as @TheGeeScott reported.", 
"Ohio St. co-offensive coordinator Ryan Day is expected to remain in Columbus and not become the Tennessee Titans’ offensive coordinator, per source. Titans’ OC search continues.", 
"Panthers poised to lose another coach: New Cardinals’ HC Steve Wilks is expected to hire Carolina LB coach Al Holcomb as his defensive coordinator, per league source.", 
"Giants are giving new HC Pat Shurmur a 5-year contract, per source.", 
"Giants officially announced Pat Shurmur as their new HC.", 
"Listen to your voice on my podcast. Please call in and leave us a voicemail at 860-506-5779. Be sure to include your name, along with your #AskAdam question. Download this Wednesday’s “Adam Schefter Podcast” to see if you made the show.", 
"Cardinals hire former Panthers’ DC Steve Wilks as HC.\n\nhttps://t.co/rU33fvb2aH", 
"Former Seahawks’ defensive coordinator Kris Richard was in Dallas on Sunday, discussing a coaching position with the Cowboys, per source.", 
"With Steve Wilks landing Cardinals’ HC job, Patriots will not lose LB coach Brian Flores to Arizona, making him a prime candidate to become New England’s next defensive coordinator.", 
"Falcons officially announce Greg Knapp as their new QB coach.", 
"Jets expected to promote their QB coach Jeremy Bates to offensive coordinator, per league sources.", 
"Bill Belichick and Tom Brady will be appearing in their 8th Super Bowl together, which is twice as many as any head coach-QB combo. Brady will also be the first 40-year-old QB to start a Super Bowl.", 
"Eagles’ RT Lane Johnson can’t wait to “dethrone” Tom Brady:... https://t.co/U05S6H4ICn", 
"After emerging from the X-ray room for another look at his injured ribs moments ago, Eagles’ QB Nick Foles told ESPN’s Sal Paolantonio: “They were just checking. I’m good. I’m good.”", 
"Eagles’ QB Nick Foles is undergoing precautionary post-game X-rays on his ribs, a team source tells ESPN’s Sal Paolantonio, who reports the injury doesn’t appear serious.", 
"More history repeating itself: Eagles’ path to play Patriots in the Super Bowl in 2004: Playoff wins over the Vikings and then the Falcons. This year, wins over the Falcons and then the Vikings to play the Patriots in the Super Bowl again.", 
"Last time the Patriots and Eagles squared off in a Super Bowl, it was the final game for Charlie Weis and Romeo Crennel as New England’s coordinators. Now, after another Super Bowl against the Eagles, the Patriots are bound to lose both their coordinators again.", 
"It’s a rematch of Super Bowl XXXIX, Eagles vs. Patriots.\n\nIt’s LeGarrette Blount and Chris Long vs their former team.\n\nIt’s the Patriots’ record 10th Super Bowl appearance vs an Eagles’ team still trying to win its first Super Bowl.", 
"To add to the Tom Brady legacy: Four days before leading the Patriots to their eighth Super Bowl in 16 seasons, No. 12 got 12 stitches beneath his right thumb, per league sources.", 
"For New England’s playoff wins and trip to Super Bowl LII, $79,000 in bonuses will be paid to 49ers’ QB Jimmy Garoppolo.\n\nNext up:\nPatriots’ Super Bowl win: another $112,000\nPatriots’ Super Bowl loss: another $56,000\nMinimum takeaway: $135,000.\n\n💵", 
"Former Browns’ and current Patriots’ WR Kenny Britt: from 0-12 to the Super Bowl.", 
"Again.", 
"Not that it was a question, but Patriots’ TE Rob Gronkowski officially ruled out for rest of game.", 
"Greg Olsen, Benjamin Watson and J.J. Watt named finalists for Walter Payton NFL Man of the Year Award. Winner announced Feb. 3.", 
"Before Raiders’ HC Jon Gruden hired Rams' QB coach Greg Olson as his offensive coordinator, he interviewed former Texas A &amp; M HC Kevin Sumlin to become his OC, per source. Sumlin became Arizona’s HC, per source.", 
"Giants’ GM Dave Gettleman wants Eli Manning at quarterback, but will look at 2018 class, per @mortreport.\n\nhttps://t.co/MZoBFrTdc2", 
"Patriots might be losing more than just their coordinators; special teams coach Joe Judge working on an expiring contract and will be in demand, per sources.\n\nhttps://t.co/EyGuW2LpjM", 
"Arizona wants to interview Patriots’ LB coach Brian Flores a second time for Cardinals’ HC job, per sources. If Flores gets the job, he would like to bring former Lions’ HC Jim Caldwell as his offensive coordinator, per sources.", 
"Former Raiders’ HC Jack Del Rio is leading candidate to become Pat Shurmur’s defensive coordinator for the Giants, per @mortreport.\n\nhttps://t.co/5B4dH2dt83", 
"NFL expected to rule this week on its investigation into whether concussion protocol was followed with Cam Newton during Carolina’s wild-card loss at New Orleans, per source. A fine definitely is possible.", 
"New Titans’ HC Mike Vrabel’s offensive coordinator hire is significant, and....Ohio St. co-offensive coordinator Ryan Day is considering becoming the Titans’ OC, according to league sources.", 
"Eagles’ honorary captains today are Brian Dawkins and Wilbert Montgomery. They will join Carson Wentz and the Eagles’ regular captains at midfield for pre-game coin flip.", 
"For first time since conferences were created in 1970, all four teams playing in Conference Championships rank in top five in scoring defense.\n\nFor first time since 2008, three teams - Jaguars, Vikings, Eagles - advanced to Final Four after missing postseason the previous year.", 
"Former Eagles’ WR Cris Carter will serve as Vikings’ honorary captain today, per source. Eagles cut Carter before he went on to a Hall-of-Fame career with Vikings.", 
"Titans are giving their new HC Mike Vrabel a 5-year contract, per source.", 
"Despite being listed as questionable for Sunday’s AFC Championship game vs. Jaguars, Patriots’ RB Rex Burkhead will play, per source.", 
"Patriots’ RB Mike Gillislee, listed as questionable for Sunday’s AFC Championship game against Jacksonville, will be inactive due to a knee injury, per source.", 
"Jaguars’ RB Leonard Fournette, who limped off field during divisional playoff game in Pittsburgh with ankle injury, has improved enough that Jacksonville did not list him on the injury report for Sunday’s AFC Championship game.", 
"Tom Brady, in the words of one source, “probably will wear the glove (Sunday) just to protect the stitches,” though the QB has not indicated whether he has decided to wear it.", 
"Official word of the Titans’ new HC: https://t.co/lTvUIxGGGR", 
"Titans named Mike Vrabel head coach.", 
"Steelers' WR Eli Rogers, scheduled to be a restricted free agent this winter, underwent surgery Wednesday for a torn ACL he suffered during Sunday's divisional playoff loss to Jacksonville, per source.", 
"Patriots’ injury report for Sunday’s AFC Championship Game:\n\nQUESTIONABLE\nQB Tom Brady - Right Hand (LP)\nDL Alan Branch - Knee (LP)\nRB Rex Burkhead - Knee (LP)\nRB Mike Gillislee - Knee (LP)\nOL LaAdrian Waddle - Knee (LP)", 
"After an investigation, NFL determined that the Raiders complied with Rooney Rule in their hiring of HC Jon Gruden, per source. No discipline.", 
"Tom Brady at his press conference - now live on ESPN - wearing gloves on both hands.", 
